30.10.2024, 16:12
Статистика проекта

                    	Сегменты	 Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	   66147	668095	               4052836	              4654974	              122	
Осталось:           	   25632	381996	               2133634	              2490787	               83	
Уникальные:         	   54088	584871	               3529683	              4060759	              122	
Осталось уникальных:	   22013	336937	               1878942	              2194414	               83	


Статистика по отдельным файлам:

Имя файла                                                               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (с пробелами)	Осталось символов (с пробелами)	Уникальные символы (с пробелами)	Осталось уникальных символов (с пробелами)	
localisation/russian/esap_misc_l_russian.yml                            	            236	                 0	                227	                            0	      1968	            0	            1932	                       0	                        12378	                               0	                            12081	                                          0	                       14143	                              0	                           13819	                                         0	
localisation/russian/esap_modifiers_l_russian.yml                       	            154	                 0	                 42	                            0	       417	            0	             163	                       0	                         3702	                               0	                             1369	                                          0	                        3837	                              0	                            1467	                                         0	
localisation/russian/est_academy_traits_l_russian.yml                   	            133	                 0	                131	                            0	      1075	            0	            1073	                       0	                         6148	                               0	                             6129	                                          0	                        7088	                              0	                            7069	                                         0	
localisation/russian/est_archivist_5_l_russian.yml                      	            200	                 0	                  1	                            0	       400	            0	               2	                       0	                         4000	                               0	                               20	                                          0	                        4000	                              0	                              20	                                         0	
localisation/russian/est_archivist_adopt_l_russian.yml                  	             55	                 0	                  1	                            0	       110	            0	               2	                       0	                          935	                               0	                               17	                                          0	                         990	                              0	                              18	                                         0	
localisation/russian/est_misc_l_russian.yml                             	            733	                 0	                579	                            0	      4824	            0	            4026	                       0	                        31267	                               0	                            24845	                                          0	                       35232	                              0	                           28245	                                         0	
localisation/russian/est_modifiers_l_russian.yml                        	            316	                 0	                125	                            0	       673	            0	             275	                       0	                         7632	                               0	                             3607	                                          0	                        7725	                              0	                            3675	                                         0	
localisation/russian/est_traditions_l_russian.yml                       	           1265	                 0	               1192	                            0	     12412	            0	           11932	                       0	                        75886	                               0	                            72312	                                          0	                       87269	                              0	                           83285	                                         0	
localisation/russian/frameworld_l_russian.yml                           	            992	               272	                876	                          252	      8437	         3778	            7873	                    3474	                        69518	                           26989	                            64490	                                      25240	                       76870	                          30529	                           71442	                                     28489	
localisation/russian/giga_ai_helper_decisions_l_russian.yml             	             14	                 0	                 14	                            0	        14	            0	              14	                       0	                          483	                               0	                              483	                                          0	                         483	                              0	                             483	                                         0	
