28.10.2024, 15:34
                  	Сегменты	 Слова	Символы (без пробелов)	Символы (с пробелами)	
Повторения:       	    3702	 45238	                256409	               298213	
Точные совпадения:	   40227	283373	               1900425	              2143164	
95 %—100 %:       	       0	     0	                     0	                    0	
85 %—94 %:        	       0	     0	                     0	                    0	
75 %—84 %:        	       0	     0	                     0	                    0	
50 %—74 %:        	       0	     0	                     0	                    0	
Без совпадений:   	       0	     0	                     0	                    0	
Всего:            	   43929	328611	               2156834	              2441377	
